Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Shipping 'Date End' field with future dates,UN-93,10118,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 7:32 AM,07/Sep/21 10:48 AM,08/Sep/21 10:29 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-92,UN-49,,,,,,,,,,,{},,,,,,,0|i00093:y,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date End' field with future dates,UN-92,10117,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 7:30 AM,07/Sep/21 10:27 AM,09/Sep/21 5:04 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-91,UN-26,,,,,,,,,,,{},,,,,,,0|i00094:o,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date End' field with future dates,UN-91,10116,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 7:29 AM,07/Sep/21 10:28 AM,09/Sep/21 3:01 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-44,UN-3,,,,,,,,,,,{},,,,,,,0|i00094:r,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section, when previous button is clicked, it must redirect to the previous page",UN-90,10115,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:57 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-86,UN-78,,,,,,,,,,,{},,,,,,,0|i00094:m,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section's pagination, on the last page the next button must be disabled",UN-89,10114,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:55 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-85,UN-78,,,,,,,,,,,{},,,,,,,0|i00093:x,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section's pagination, on the first page the previous button must be disabled",UN-88,10113,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:49 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-84,UN-78,,,,,,,,,,,{},,,,,,,0|i00093:v,,UN Sprint 1,,,,,,,,In Progress
"In Shipping section, when next button is clicked, it must redirect to the next page",UN-87,10112,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:45 AM,07/Sep/21 11:27 AM,09/Sep/21 5:04 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-83,UN-78,,,,,,,,,,,{},,,,,,,0|i0008z:,,UN Sprint 1,,,,,,,,In Progress
"In Tax section, when previous button is clicked, it must redirect to the previous page",UN-86,10111,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:12 AM,07/Sep/21 11:27 AM,08/Sep/21 5:17 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-82,UN-77,,,,,,,,,,,{},,,,,,,0|i00094:9,,UN Sprint 1,,,,,,,,In Progress
"In Tax section's pagination, on the last page the next button must be disabled",UN-85,10110,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:09 AM,07/Sep/21 11:25 AM,08/Sep/21 5:18 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-81,UN-77,,,,,,,,,,,{},,,,,,,0|i00093:m,,UN Sprint 1,,,,,,,,In Progress
"In Tax section's pagination, on the first page the previous button must be disabled",UN-84,10109,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 6:07 AM,07/Sep/21 11:25 AM,08/Sep/21 5:17 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-80,UN-77,,,,,,,,,,,{},,,,,,,0|i00094:i,,UN Sprint 1,,,,,,,,In Progress
"In Tax section, when next button is clicked, it must redirect to the next page",UN-83,10108,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 5:24 AM,07/Sep/21 11:25 AM,08/Sep/21 5:16 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-79,UN-77,,,,,,,,,,,{},,,,,,,0|i00093:r,,UN Sprint 1,,,,,,,,In Progress
"In Orders section, when previous button is clicked, it must redirect to the previous page",UN-82,10107,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 5:07 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-79,UN-76,,,,,,,,,,,{},,,,,,,0|i00093:i,,UN Sprint 1,,,,,,,,In Progress
"In Orders section's pagination, on the last page the next button must be disabled",UN-81,10106,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 5:05 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-80,UN-76,,,,,,,,,,,{},,,,,,,0|i00091:,,UN Sprint 1,,,,,,,,In Progress
"In Orders section's pagination, on the first page the previous button must be disabled",UN-80,10105,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 4:54 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-76,,,,,,,,,,,{},,,,,,,0|i00094:,,UN Sprint 1,,,,,,,,In Progress
"In Orders section, when next button is clicked, it must redirect to the next page",UN-79,10104,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 4:38 AM,07/Sep/21 11:26 AM,09/Sep/21 5:04 AM,07/Sep/21 11:26 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-76,,,,,,,,,,,{},,,,,,,0|i00093:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see the pagination for more than 20 records in the Shipping section so that, the sever response is fast and weight of the page is reduced",UN-78,10103,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 4:21 AM,07/Sep/21 11:25 AM,09/Sep/21 4:00 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:zgi,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see the pagination for more than 20 records in the Tax section so that, the sever response is fast and weight of the page is reduced",UN-77,10102,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 4:21 AM,07/Sep/21 11:26 AM,09/Sep/21 3:59 AM,07/Sep/21 11:26 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:zh,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see the pagination for more than 20 records in the Orders section so that, the sever response is fast and weight of the page is reduced",UN-76,10101,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,07/Sep/21 4:07 AM,09/Sep/21 3:48 AM,09/Sep/21 4:00 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:zf,,UN Sprint 1,,,,,,,,In Progress
'Date End' field is taking dates prior to the start date,UN-75,10100,Bug,To Do,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 12:18 PM,07/Sep/21 10:33 AM,09/Sep/21 3:04 AM,,,0,"'Date End' field is accepting dates prior to the Start Date

Steps to reproduce

1.Go to the website by logging in

2.Go to the reports section(Bug is present in 3 sections-Orders, Tax and Shipping):

          I. Go to Orders section under sales and verify the Date End field with date before the Start Date

         II. Go to Tax section and under sales and verify the Date End field with date before the Start Date

        III. Go to Shipping  section under sales and verify the Date End field with date before the Start Date        

Expected Results:

'Date End' field should not accept dates before the Start Date

Actual Results:

'Date End' field is accepting dates before the Start Date

Orders page

!Screenshot (1625)-20210906-123838.png|width=50%!

Tax page

!Screenshot (1624)-20210906-123912.png|width=50%!

Shipping page

!Screenshot (1623)-20210906-123936.png|width=50%!",,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,UN-47,UN-60,UN-46,UN-3,UN-26,UN-49,,UN-47,UN-46,UN-60,06/Sep/21 12:41 PM;ug:0f381bf0-2b71-4758-b2ed-f6152ad6b58f;Screenshot (1623)-20210906-123936.png;https://corporateola77.atlassian.net/secure/attachment/10004/Screenshot+%281623%29-20210906-123936.png,06/Sep/21 12:41 PM;ug:0f381bf0-2b71-4758-b2ed-f6152ad6b58f;Screenshot (1624)-20210906-123912.png;https://corporateola77.atlassian.net/secure/attachment/10005/Screenshot+%281624%29-20210906-123912.png,06/Sep/21 12:41 PM;ug:0f381bf0-2b71-4758-b2ed-f6152ad6b58f;Screenshot (1625)-20210906-123838.png;https://corporateola77.atlassian.net/secure/attachment/10003/Screenshot+%281625%29-20210906-123838.png,,,,,,{},,,,,,,0|i0008w:zm,,UN Sprint 1,,,,,,,,To Do
"In Shipping sales reports, 'Date Start' and 'Date End' field is accepting future dates",UN-74,10099,Bug,To Do,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 11:56 AM,07/Sep/21 10:48 AM,09/Sep/21 3:05 AM,,,0,"In Shipping section, ‘Date Start’ and ‘Date End’  fields are accepting future dates

Steps to reproduce

1.Go to the website by logging in

2.Go to the reports section

3.Go to Shipping section under sales

4.Verify the 'Date Start' and Date End'  fields with future dates

Expected Results:

‘Date Start' and 'Date End’ fields should not accept future dates

Actual Results:

‘Date start' and 'Date End’ fields are accepting future date

!Screenshot (1622)-20210906-120453.png|width=1536,height=789!",,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,UN-48,UN-93,UN-49,UN-57,,,UN-73,UN-57,UN-93,,07/Sep/21 8:46 AM;ug:0f381bf0-2b71-4758-b2ed-f6152ad6b58f;Screenshot (1622)-20210906-120453.png;https://corporateola77.atlassian.net/secure/attachment/10007/Screenshot+%281622%29-20210906-120453.png,,,,,,,,{},,,,,,,0|i0008w:zi,,UN Sprint 1,,,,,,,,To Do
"In Tax sales reports, 'Date Start' and 'Date End' field is accepting future dates",UN-73,10098,Bug,To Do,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 10:59 AM,07/Sep/21 10:53 AM,09/Sep/21 3:07 AM,,,0,"In Tax section, ‘Date Start’ and 'Date End' fields are accepting future dates

Steps to reproduce

1.Go to the website by logging in

2.Go to the reports section

3.Go to Tax section under sales

4.Verify the ‘Date Start' and 'Date End’ fields with future dates

Expected Results:

‘Date Start' and 'Date End’  fields should not accept future dates

Actual Results:

'Date start' and ‘Date End’ fields is accepting future date

!Screenshot (1620)-20210906-114800.png|width=58.333333333333336%!",,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,UN-26,UN-45,UN-25,UN-92,,,UN-72,UN-92,UN-45,,06/Sep/21 11:52 AM;ug:0f381bf0-2b71-4758-b2ed-f6152ad6b58f;Screenshot (1620)-20210906-114800.png;https://corporateola77.atlassian.net/secure/attachment/10002/Screenshot+%281620%29-20210906-114800.png,,,,,,,,{},,,,,,,0|i0008w:zl,,UN Sprint 1,,,,,,,,To Do
"In Orders sales reports, 'Date Start' and 'Date End' field is accepting future dates",UN-72,10097,Bug,To Do,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 10:25 AM,07/Sep/21 10:40 AM,09/Sep/21 5:04 AM,,,0,"In Orders section, ‘Date Start’ and Date End'  fields are accepting future dates

Steps to reproduce

1.Go to the website by logging in

2.Go to the reports section

3.Go to Order section under sales

4.Verify the 'Date Start' and 'Date End' fields with future dates

Expected Results:

‘Date Start' and 'Date End’ fields should not accept future dates

Actual Results:

Date start and Date End field are accepting future date

!Screenshot (1621)-20210906-114827.png|width=1536,height=787!",,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,UN-3,UN-44,UN-2,UN-91,,,,UN-91,UN-44,,07/Sep/21 4:17 AM;ug:0f381bf0-2b71-4758-b2ed-f6152ad6b58f;Screenshot (1621)-20210906-114827.png;https://corporateola77.atlassian.net/secure/attachment/10006/Screenshot+%281621%29-20210906-114827.png,,,,,,,,{},,,,,,,0|i0008w:zo,,UN Sprint 1,,,,,,,,To Do
Verify the Shipping reports pagination does not show more links than the total page count,UN-71,10096,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 8:56 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-70,UN-78,,,,,,,,,,,{},,,,,,,0|i0008w:yl,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax reports pagination does not show more links than the total page count,UN-70,10095,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 8:54 AM,07/Sep/21 11:25 AM,08/Sep/21 5:17 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-69,UN-77,,,,,,,,,,,{},,,,,,,0|i0008w:zd,,UN Sprint 1,,,,,,,,In Progress
